,positive1,positive2,positive3,control1,control2,control3
URIAAL_R02593,9.997658363,10.29969314,10.10755224,9.713916139,10.202836,10.70908565
URIAAL_R02592,4.363545172,5.075108153,5.456495784,5.469511828,4.965656574,5.720279544
URIAAL_R03732,4.363545172,4.777125374,4.363545172,4.363545172,5.209098481,4.363545172
URIAAL_R02611,4.363545172,4.363545172,4.363545172,4.363545172,5.392096277,5.000689288
URIAAL_R03731,8.960868754,8.51985994,9.311155264,8.519960182,9.919476702,9.510580244
URIAAL_R02586,10.60479039,10.18612582,10.42618022,9.682649241,9.426497277,10.5587068
URIAAL_R03730,10.52088794,10.97665574,10.52656048,9.910874653,10.83324274,11.0395859
URIAAL_R15035,4.363545172,4.363545172,4.363545172,5.377081874,4.666235093,4.363545172
URIAAL_R14201,4.891955851,4.777125374,4.363545172,5.273670624,4.363545172,4.363545172
URIAAL_R14210,4.363545172,4.363545172,4.818598514,5.154913227,4.363545172,4.363545172
URIAAL_R14200,4.363545172,4.363545172,4.363545172,5.154913227,4.363545172,4.363545172
URIAAL_R14199,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08256,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R08254,4.363545172,4.363545172,5.456495784,4.363545172,5.762412828,5.257569707
URIAAL_R08266,11.55665387,11.32302324,11.35549425,10.92879095,11.06956296,11.99352813
URIAAL_R08265,6.507273859,7.049934662,7.732284825,7.408769207,7.914810915,6.700715496
URIAAL_R08248,6.097918978,7.141820253,7.689206491,7.658764935,7.512136604,6.56435651
URIAAL_R14209,11.43678269,12.59277787,11.72598979,11.31304016,11.4691182,12.06369472
URIAAL_R08255,8.023220186,9.185132786,7.886258336,8.860167722,7.398452322,8.608093184
URIAAL_R14195,4.891955851,4.86921915,5.365066786,4.363545172,5.349969239,4.858662109
URIAAL_R08264,8.75670637,9.228844247,8.479655769,8.393524104,6.818966066,9.027568462
URIAAL_R08263,5.268971085,6.981755301,6.595053781,5.553567254,4.885923333,6.897603361
URIAAL_R14202,7.875565833,8.046624748,8.030907908,7.034336662,7.490124187,8.583679554
URIAAL_R08249,10.19965269,9.47510521,9.292252162,10.06713912,9.247915009,10.31516868
URIAAL_R14203,13.03604267,12.76205763,12.53948499,12.20926443,12.17151433,13.30276456
