,positive1,positive2,positive3,control1,control2,control3
URIAAL_R14263,5.886016973,6.008964029,5.754070316,6.030894245,6.911871644,6.205273952
URIAAL_R14694,4.363545172,5.663832205,4.363545172,5.702868692,5.098372679,4.768462915
URIAAL_R09903,7.599711051,7.340273809,6.578813466,7.903587447,6.478465989,6.36732673
URIAAL_R14262,10.22344398,9.554109491,9.95376026,9.827575785,9.61914275,9.73594062
URIAAL_R09911,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R14261,8.336748945,8.279086355,8.119775618,7.871095073,9.319561754,7.922683522
URIAAL_R09910,9.787972694,12.30150929,10.62607354,11.42168669,10.27664185,9.629894714
URIAAL_R14270,12.27698617,12.42283223,12.88810066,12.24493766,13.44317743,12.16997693
URIAAL_R09909,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15466,4.363545172,4.363545172,4.363545172,4.926588771,4.363545172,4.363545172
URIAAL_R14269,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R09905,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09904,9.212818441,9.945579866,9.601430066,9.97906442,10.67368555,10.47595697
URIAAL_R14268,13.24489248,12.72714637,13.17720438,11.78621775,12.85113873,13.15530303
URIAAL_R09902,7.085227234,7.554267565,7.598899586,6.800401778,7.663835753,8.084231061
URIAAL_R14273,5.672876026,5.965671312,6.56237004,5.326964755,6.582965508,5.60916277
URIAAL_R14267,5.763217136,5.747465492,6.1343018,5.469511828,5.643016455,5.956403081
URIAAL_R14266,8.298711605,7.964841379,8.732359702,7.978667401,7.650699457,8.484944803
URIAAL_R14260,5.106768862,6.240187647,6.012324482,5.154913227,4.965656574,5.516985098
URIAAL_R15542,4.363545172,4.777125374,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R14265,4.363545172,4.946467387,4.363545172,5.424478923,4.363545172,4.363545172
URIAAL_R14264,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09901,4.363545172,4.363545172,4.363545172,4.363545172,5.035531377,4.363545172
URIAAL_R14271,4.363545172,4.86921915,4.685980511,5.01234472,4.363545172,4.363545172
URIAAL_R09906,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09908,8.932239319,9.302770602,8.770467149,8.983160468,8.608210393,9.187780856
URIAAL_R09900,9.066247181,9.760973358,9.144601945,9.222105294,9.352082549,9.598322029
URIAAL_R14274,5.192272678,4.363545172,4.363545172,4.363545172,4.363545172,4.858662109
URIAAL_R14272,4.363545172,5.075108153,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15541,4.363545172,4.946467387,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R11255,7.599711051,8.275107967,8.576775736,7.202772374,8.128051139,8.08858801
URIAAL_R11256,7.054519961,7.407968595,7.82798139,7.081301236,7.752524203,6.780738341
URIAAL_R11257,10.21499209,10.74281493,11.18169373,10.03255225,10.97036825,10.52073371
URIAAL_R09980,12.71952495,12.04803938,12.1708767,11.33685164,12.05083809,12.24150679
URIAAL_R09981,10.54670985,10.98091804,9.443391787,10.33533452,10.10134599,9.752425052
URIAAL_R11252,12.57646716,12.43353351,11.2718126,11.8689759,12.32924951,11.80171498
URIAAL_R09985,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11253,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09982,4.363545172,4.946467387,4.363545172,4.689988651,4.965656574,4.363545172
URIAAL_R11258,7.159131035,8.509750399,6.984376372,7.159825198,9.026461635,6.747026306
URIAAL_R09983,9.939329651,9.776475743,9.79506215,9.323414441,9.154183726,9.717867082
URIAAL_R09986,4.363545172,4.363545172,4.363545172,4.689988651,4.363545172,4.363545172
URIAAL_R09984,6.941288325,7.662486304,5.846902511,6.618365353,5.919985035,4.934336631
URIAAL_R11254,6.661245829,6.240187647,6.157282142,7.72587072,6.757479048,6.483555247
URIAAL_R09987,10.4376238,7.656345049,9.183600096,9.068246296,8.982969277,8.96522558
URIAAL_R14728,10.00552162,10.03382254,10.33799019,9.594476342,10.28297633,9.841150499
URIAAL_R11695,7.334656645,6.341325718,6.307161417,6.828475543,5.967976044,6.524581044
URIAAL_R11826,10.43034147,10.15843161,10.36083177,9.397811247,9.497254972,10.55558029
URIAAL_R11696,9.623951679,9.790425555,10.15275893,9.284722933,9.28418407,9.897816239
URIAAL_R01746,7.589168482,8.861838852,6.922580976,7.688983461,7.490124187,8.420886675
URIAAL_R01747,4.363545172,4.363545172,5.145389309,5.01234472,4.666235093,4.363545172
URIAAL_R11751,4.363545172,4.363545172,4.363545172,5.087435481,4.363545172,4.363545172
URIAAL_R01696,11.58774783,12.48716527,12.03691241,12.09523015,12.54945111,11.90756575
URIAAL_R01697,5.924129206,6.449951317,6.703472728,6.444809483,6.330371712,6.469586992
URIAAL_R01740,7.187620988,10.63024737,7.97837195,10.48883733,10.73656797,8.092931689
URIAAL_R11697,5.573906482,6.030025419,5.456495784,5.630955528,6.036443225,5.213003633
URIAAL_R01748,9.171442888,8.785767594,8.980049286,9.145882332,9.307174543,8.875149777
URIAAL_R11752,9.020362808,8.705441279,9.294628668,9.196275022,8.962038022,8.035404792
URIAAL_R11698,5.403613926,4.363545172,4.818598514,4.824231677,4.885923333,4.650333526
URIAAL_R11753,9.955657494,8.629714627,10.04967766,9.57857554,9.573342501,9.75379028
URIAAL_R01749,13.03939643,11.82100111,12.34704458,12.73074599,12.35502575,11.97697425
URIAAL_R01750,10.1824153,10.5439807,10.06922848,11.77362404,11.2409215,10.58807543
URIAAL_R11739,5.573906482,5.965671312,5.206368921,5.630955528,6.625322581,6.288913891
URIAAL_R11754,7.28296808,6.834245654,7.808011704,7.877653259,7.429680058,6.096780227
URIAAL_R01698,4.363545172,4.363545172,4.363545172,5.01234472,4.363545172,4.363545172
URIAAL_R01751,5.338961133,4.656489436,5.539660706,4.824231677,5.098372679,4.363545172
URIAAL_R01738,9.725063059,9.386010485,9.289871725,8.823485757,9.471589011,9.260698654
URIAAL_R11738,4.738226096,6.204569259,5.846902511,5.469511828,6.934137876,6.336542105
URIAAL_R11821,5.268971085,6.050718136,5.315501485,4.926588771,6.101166047,5.956403081
URIAAL_R11699,8.121078045,8.055944825,8.001960823,6.618365353,6.98826367,7.254117166
URIAAL_R11755,10.59048807,10.40405842,10.40435835,9.849270306,10.61129557,10.71680314
URIAAL_R11756,10.29094195,10.46358246,10.33106656,9.870643108,10.15067635,10.71119452
URIAAL_R11750,9.195722956,10.11918578,8.725321105,9.400075327,9.337945,9.251058123
URIAAL_R01752,7.085227234,8.404527512,6.223744788,5.893492605,5.432305026,5.579384528
URIAAL_R01753,7.858171783,9.762389577,7.622023478,8.239686494,6.058409786,6.382444222
URIAAL_R01699,4.363545172,8.037243327,4.363545172,5.377081874,6.666364922,4.363545172
URIAAL_R11831,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11757,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11758,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01754,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11759,4.363545172,4.777125374,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11760,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11700,4.363545172,4.363545172,4.363545172,5.087435481,4.666235093,4.363545172
URIAAL_R11832,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11833,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R14975,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11761,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11762,4.363545172,4.777125374,4.363545172,4.363545172,4.965656574,4.363545172
URIAAL_R01755,5.520473026,6.222506455,5.721272924,5.770179009,6.101166047,6.84573097
URIAAL_R11763,4.363545172,5.075108153,4.363545172,5.01234472,4.885923333,5.165669828
URIAAL_R01756,7.384500116,7.429825178,7.46017096,6.08164292,6.182391428,5.63808552
URIAAL_R11764,4.363545172,4.363545172,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R01757,5.338961133,5.747465492,6.286822642,5.630955528,5.674164526,5.213003633
URIAAL_R11702,4.363545172,4.363545172,4.919731905,4.363545172,4.363545172,4.363545172
URIAAL_R14973,7.589168482,7.150681159,7.725195545,6.444809483,6.732074048,6.802752384
URIAAL_R01743,5.719008711,6.030025419,5.687429516,5.737053834,5.762412828,5.414953896
URIAAL_R11765,4.363545172,4.656489436,4.363545172,5.273670624,4.666235093,5.060393588
URIAAL_R11703,11.23175661,11.68057573,11.51822665,10.4792395,11.65434094,11.79178621
URIAAL_R11767,4.891955851,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R01758,4.363545172,4.363545172,5.004475073,4.363545172,4.965656574,4.363545172
URIAAL_R01759,5.719008711,5.360144269,5.904741953,4.926588771,5.47080836,5.299767048
URIAAL_R01700,5.719008711,5.773944293,6.595053781,5.863920621,6.079978634,5.890647783
URIAAL_R11823,7.710763552,7.049934662,7.451568022,7.069709537,6.782411988,7.970739949
URIAAL_R01701,5.520473026,6.130081955,4.685980511,5.512464376,5.305661948,5.257569707
URIAAL_R11704,4.363545172,6.204569259,4.363545172,5.01234472,5.209098481,4.650333526
URIAAL_R01830,10.52636269,13.54780621,9.624275306,10.69544741,9.784581479,8.635070915
URIAAL_R11768,5.624597821,7.54097211,6.817469786,5.833548159,5.543373549,5.934901004
URIAAL_R11705,10.96674524,13.33944019,11.16362365,11.40938745,10.68648328,11.31663073
URIAAL_R01760,13.75486618,18.36880801,12.76381545,14.76403093,11.70592146,13.6628375
URIAAL_R11706,6.661245829,7.898968505,6.179837966,5.593011071,6.430974731,6.791790354
URIAAL_R11707,8.737913277,8.579064557,8.742853328,7.929056957,8.743264357,8.431193482
URIAAL_R01761,8.246368606,9.450709202,9.170717788,8.464656987,7.603735633,8.687550992
URIAAL_R11749,4.363545172,4.363545172,4.363545172,4.363545172,4.885923333,4.363545172
URIAAL_R01762,7.309051772,6.961635472,7.5674659,6.9732772,6.818966066,7.951711711
URIAAL_R11708,5.106768862,5.230772573,5.315501485,4.363545172,4.965656574,5.165669828
URIAAL_R01805,6.7021339,8.604613105,6.972238932,6.842296563,6.679768474,6.652738778
URIAAL_R01763,4.891955851,6.091055266,5.365066786,5.01234472,4.363545172,4.363545172
URIAAL_R11769,5.719008711,5.075108153,6.528851219,5.154913227,5.543373549,5.060393588
URIAAL_R01820,10.33060036,10.3161751,10.16449188,9.572567199,10.27558339,10.68281951
URIAAL_R01821,9.666740261,10.17553706,9.83966144,9.188434664,9.87822621,10.20273876
URIAAL_R11770,4.363545172,4.363545172,4.363545172,5.273670624,4.363545172,4.363545172
URIAAL_R01703,8.091676787,7.999087476,9.216564197,8.481901753,8.11383357,8.017226735
URIAAL_R01702,10.35849379,11.33067693,10.78818631,9.855880374,10.74958446,10.82007274
URIAAL_R11771,5.719008711,5.5071585,5.904741953,5.737053834,5.610890998,6.170169661
URIAAL_R11742,7.777148002,8.861838852,8.263108024,10.00457003,6.014061494,7.734831315
URIAAL_R11772,6.483722438,6.222506455,5.365066786,5.377081874,5.432305026,6.60296174
URIAAL_R01764,11.83164245,11.05440595,11.94090909,10.96285688,10.90958731,11.26588976
URIAAL_R11709,8.907237671,9.007662986,10.81985094,9.051050543,10.10134599,9.862820224
URIAAL_R01704,6.483722438,5.182500828,7.055026465,6.426108148,6.877773649,6.115548223
URIAAL_R11747,5.00894176,4.946467387,6.494449428,6.004681015,5.919985035,5.666211823
URIAAL_R11710,7.296070932,8.101652705,6.286822642,6.697252129,6.221068499,7.181551105
URIAAL_R01816,5.624597821,6.091055266,6.1343018,4.363545172,5.432305026,5.820836068
URIAAL_R01819,5.463885147,6.050718136,5.687429516,5.216595778,5.610890998,5.414953896
URIAAL_R01695,6.191225552,7.429825178,6.223744788,6.177137402,6.162586981,6.058341005
URIAAL_R11773,4.363545172,4.363545172,4.363545172,5.893492605,4.790835485,4.858662109
URIAAL_R11711,5.886016973,5.84973321,5.616246526,6.307767268,6.142456428,5.60916277
URIAAL_R11774,10.68896885,10.94459236,10.93161855,10.46634221,10.75110812,10.52952461
URIAAL_R11820,5.106768862,5.7203168,5.498990869,5.01234472,4.965656574,5.339906261
URIAAL_R11825,7.951307508,8.171869735,8.103529256,8.182736245,6.446999968,8.084231061
URIAAL_R11822,7.242903137,6.753992999,6.673388818,6.869522209,6.53919901,7.794913503
URIAAL_R01705,12.86864597,12.60071222,12.87070373,11.3439191,12.45632868,13.42105932
URIAAL_R11712,12.87937955,12.11077994,12.24854421,12.15504887,12.49457483,12.78559166
URIAAL_R01765,11.328148,11.05324989,11.29985542,11.04899103,11.88068246,11.37941466
URIAAL_R11775,12.86999204,13.22025614,13.5861663,12.93115487,13.66111675,13.30357998
URIAAL_R11776,7.456088093,7.437035631,7.325227804,6.842296563,7.683314069,8.504592896
URIAAL_R11713,5.886016973,6.823069398,6.11087821,6.28692339,5.919985035,6.077714856
URIAAL_R14791,11.19613752,11.22991191,11.96942128,10.8979085,11.79243675,11.96140974
URIAAL_R11777,6.191225552,5.663832205,6.528851219,6.602008157,6.625322581,6.304990716
URIAAL_R01766,6.160910052,5.943405066,6.789864406,5.154913227,5.349969239,6.115548223
URIAAL_R01767,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01768,4.363545172,4.363545172,4.363545172,5.273670624,4.363545172,4.363545172
URIAAL_R11778,4.363545172,4.363545172,4.363545172,5.01234472,4.790835485,4.363545172
URIAAL_R11779,4.363545172,4.363545172,4.363545172,4.363545172,4.885923333,4.363545172
URIAAL_R11780,5.268971085,5.075108153,5.004475073,4.363545172,4.965656574,4.363545172
URIAAL_R11827,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01769,9.639199052,9.07993462,9.87817883,10.62078746,9.432211559,8.929385851
URIAAL_R01706,5.106768862,4.946467387,4.363545172,5.087435481,4.666235093,4.363545172
URIAAL_R01707,4.891955851,5.276213501,4.818598514,6.08164292,4.666235093,5.60916277
URIAAL_R11824,5.268971085,5.014186365,6.012324482,5.216595778,5.704406029,6.077714856
URIAAL_R11714,11.68761964,11.04338575,10.7686776,11.58866321,11.57913941,11.17764998
URIAAL_R01708,9.209415551,9.247178835,8.600061714,9.623825428,9.241418633,8.298576131
URIAAL_R01770,7.641110844,6.81179987,6.9964071,7.104196116,7.080607399,6.802752384
URIAAL_R11737,8.873210939,8.046624748,7.954385616,8.44280502,7.925723074,8.69326541
URIAAL_R01709,8.680011526,8.419011828,8.013610336,8.883032501,7.999850917,8.434612669
URIAAL_R11781,8.156997736,8.740418413,8.059278628,9.504766594,8.245677837,7.78955552
URIAAL_R01710,8.259635082,8.097147276,7.794540678,8.166802073,8.342230019,7.99881372
URIAAL_R11782,5.106768862,5.075108153,4.363545172,6.153957941,5.349969239,4.934336631
URIAAL_R01711,4.363545172,4.777125374,5.004475073,5.893492605,4.666235093,4.363545172
URIAAL_R01737,6.031447138,6.14913368,6.11087821,6.28692339,5.762412828,6.058341005
URIAAL_R01771,4.363545172,4.363545172,4.363545172,4.926588771,4.363545172,4.363545172
URIAAL_R01731,5.268971085,4.656489436,4.818598514,5.702868692,5.209098481,4.768462915
URIAAL_R11783,7.115265045,6.167892161,6.44107503,6.307767268,5.643016455,6.170169661
URIAAL_R01732,4.738226096,4.363545172,4.685980511,5.424478923,4.363545172,4.363545172
URIAAL_R11743,4.363545172,4.946467387,4.363545172,5.424478923,4.363545172,5.257569707
URIAAL_R01712,6.941288325,5.276213501,5.456495784,7.137841531,5.50778211,5.796555397
URIAAL_R11745,10.03463262,8.0880935,9.196368107,9.710272701,9.245752807,9.319070609
URIAAL_R11784,9.897682051,7.818962155,7.954385616,10.12437069,7.437379486,8.701794612
URIAAL_R15299,7.28296808,6.325023646,6.595053781,7.42689217,6.98826367,6.937720986
URIAAL_R11785,10.15793141,9.165985082,9.318180424,10.14340417,9.466029148,9.411964242
URIAAL_R01772,8.142738142,7.021128884,7.186301344,7.488539883,6.757479048,7.69522593
URIAAL_R11701,5.192272678,5.276213501,4.818598514,6.407130896,5.035531377,5.516985098
URIAAL_R11715,6.681846849,5.075108153,5.959782316,5.702868692,5.209098481,6.320864913
URIAAL_R11786,8.198941541,7.534277003,7.207018448,7.935353692,7.374565913,7.78955552
URIAAL_R01713,10.17894296,10.14763672,10.11697609,11.27225373,10.62049447,10.81158001
URIAAL_R11716,7.739595861,7.840741784,7.434202277,8.681596454,7.715193354,7.994173029
URIAAL_R01773,12.26229948,11.7793114,11.52633,12.14125504,11.89453458,11.85290778
URIAAL_R11736,9.794796099,8.799650521,8.994748099,9.710272701,9.513516243,9.729016059
URIAAL_R01714,9.139611325,9.002873194,9.088165425,10.3234631,9.190614321,10.45848681
URIAAL_R01774,6.958049311,8.145941437,7.5674659,7.42689217,6.666364922,6.887386321
URIAAL_R01775,4.363545172,5.182500828,4.363545172,6.177137402,4.965656574,4.858662109
URIAAL_R11741,5.268971085,4.363545172,4.818598514,5.512464376,5.035531377,5.548683995
URIAAL_R11748,5.672876026,4.363545172,5.262800844,5.469511828,4.965656574,5.060393588
URIAAL_R11787,7.535239292,7.674689331,8.223601966,6.634522533,7.914810915,8.017226735
URIAAL_R11788,5.886016973,6.186367505,5.754070316,7.046229039,5.258845731,6.115548223
URIAAL_R01715,10.86779704,10.7775331,11.22838848,13.3074627,12.42827356,11.07057759
URIAAL_R15301,4.738226096,4.363545172,4.685980511,4.363545172,4.965656574,5.257569707
URIAAL_R15300,4.363545172,4.363545172,4.363545172,4.926588771,4.965656574,4.363545172
URIAAL_R01776,7.269740821,5.7203168,6.688515694,7.837842065,7.800816156,6.791790354
URIAAL_R11733,12.70451361,12.1727693,13.00106997,13.14736681,13.74598424,12.27039423
URIAAL_R01777,13.09063777,12.59357327,13.344504,13.18228526,13.7905572,13.22090092
URIAAL_R01779,5.106768862,4.363545172,4.363545172,4.363545172,4.666235093,4.650333526
URIAAL_R01716,11.59166946,11.79080133,11.60160266,11.69750216,11.7289116,11.97989221
URIAAL_R01780,4.891955851,4.946467387,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R01778,11.73507694,11.58141507,11.40302799,11.30038,12.26271901,11.16642271
URIAAL_R11789,9.783405742,7.71067898,9.460422429,8.581228481,8.567168102,8.110175338
URIAAL_R01781,8.279306809,7.612591949,8.44576297,7.851236856,7.892732079,7.051455257
URIAAL_R11790,4.363545172,4.946467387,5.004475073,5.216595778,4.363545172,5.257569707
URIAAL_R11791,10.41861271,10.45835099,10.68427456,10.35412782,11.08474721,10.55087778
URIAAL_R14790,4.363545172,4.363545172,5.004475073,5.01234472,4.790835485,4.363545172
URIAAL_R11792,4.363545172,4.363545172,4.363545172,5.216595778,4.363545172,4.363545172
URIAAL_R11717,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R11793,4.738226096,5.692455051,4.685980511,6.48141871,5.543373549,5.746310082
URIAAL_R01782,4.363545172,4.363545172,5.004475073,6.004681015,5.305661948,5.165669828
URIAAL_R11735,8.27277959,6.941214878,7.575390275,8.375174809,7.2918611,7.606426251
URIAAL_R11794,8.640070757,8.447548323,7.434202277,9.211828748,7.746370335,8.441426659
URIAAL_R01783,12.04926353,10.99543675,10.65869695,11.87752419,11.2730913,11.50950291
URIAAL_R11740,6.459735668,8.378822001,6.245127382,7.244429928,5.762412828,6.455466424
URIAAL_R11718,11.46056666,12.92433272,11.63664639,11.08739834,11.07990562,11.31200676
URIAAL_R01784,8.609368322,8.796884648,7.82798139,8.911905497,8.818009141,8.623143389
URIAAL_R11719,11.31159907,11.32589813,11.045953,11.67339219,11.56101357,11.09984473
URIAAL_R01717,9.841676223,9.905127268,9.16812743,9.835958523,9.904488245,10.03549857
URIAAL_R01785,6.332593726,7.309101637,7.247547603,6.786142574,7.274715108,6.735598029
URIAAL_R11795,10.948511,10.886707,10.72885023,9.977549943,10.30077436,10.75750659
URIAAL_R01718,7.456088093,7.040399704,6.307161417,7.966425988,7.148378663,7.374464401
URIAAL_R01742,10.87746761,12.22272413,10.45300121,11.5320327,11.4705061,10.02309987
URIAAL_R11732,6.160910052,5.7203168,5.078689628,5.702868692,5.577707526,5.820836068
URIAAL_R01786,6.761209711,6.69358209,6.789864406,7.530974501,7.040330214,6.813625977
URIAAL_R01787,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01788,7.926505874,7.59341731,7.5271612,7.159825198,7.421938118,8.097262182
URIAAL_R11796,7.038905383,7.422577455,7.100186267,7.333835826,6.625322581,7.550334505
URIAAL_R01789,5.719008711,5.84973321,6.385394979,4.689988651,6.478465989,6.524581044
URIAAL_R11819,9.739282234,9.621220152,9.548663921,9.219543028,9.919476702,9.646160725
URIAAL_R01790,10.43180088,10.35891568,10.46042256,10.4749532,10.7975604,10.75000441
URIAAL_R11797,9.209415551,8.687627897,8.537105417,8.498941482,8.631620464,8.743696763
URIAAL_R15298,9.918656267,10.38672145,9.173303492,9.819144005,9.837196131,10.58194207
URIAAL_R01828,7.384500116,8.032529355,7.296602734,7.223757316,7.637439865,7.877998928
URIAAL_R11798,5.924129206,5.436618703,6.037738739,6.030894245,5.967976044,6.813625977
URIAAL_R11799,4.891955851,4.363545172,4.363545172,4.363545172,4.790835485,4.934336631
URIAAL_R11720,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01739,4.891955851,5.5071585,5.578693395,5.424478923,5.209098481,5.45022945
URIAAL_R11800,4.363545172,5.182500828,5.456495784,5.01234472,5.155862306,4.768462915
URIAAL_R11801,5.846575098,4.777125374,4.818598514,4.363545172,5.349969239,5.548683995
URIAAL_R11802,7.038905383,7.236306038,6.037738739,6.222224296,6.55395074,7.060520752
URIAAL_R01791,11.41849979,11.60251144,11.52986096,9.790101245,11.43540157,12.06836301
URIAAL_R11734,7.610175408,5.920700049,8.6455296,8.214081049,6.770003353,6.91780994
URIAAL_R01813,5.403613926,6.604119328,5.721272924,6.106231894,5.733803569,5.720279544
URIAAL_R11803,9.618833151,9.201941688,9.191274488,9.552356457,8.709102708,8.12297267
URIAAL_R11830,7.269740821,6.981755301,7.343990144,7.604275412,6.818966066,6.469586992
URIAAL_R01792,13.15057101,12.76717815,13.73167692,13.14382803,12.39260261,11.73004121
URIAAL_R11744,8.279306809,7.994245319,8.92278184,7.89067951,8.128051139,8.577510668
URIAAL_R01793,4.363545172,4.946467387,4.685980511,4.824231677,5.035531377,4.768462915
URIAAL_R01808,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11721,4.363545172,4.363545172,4.363545172,4.689988651,4.885923333,4.363545172
URIAAL_R11804,10.95664358,11.04513139,10.85647108,10.61690242,10.87506775,10.83497692
URIAAL_R01794,13.47017445,13.27222576,14.28733166,13.08757385,13.68442673,12.50440951
URIAAL_R01736,13.70037043,13.25070425,13.72959485,13.529041,14.57335573,12.96535327
URIAAL_R11805,12.50514392,12.27473118,11.9401511,11.98276597,12.46378075,12.37118073
URIAAL_R01795,4.363545172,5.075108153,4.919731905,4.824231677,4.965656574,4.768462915
URIAAL_R01796,9.69376489,10.33342365,10.27083348,9.045272637,10.0515051,10.06108357
URIAAL_R01797,6.332593726,7.757284286,5.004475073,5.950424909,6.036443225,5.414953896
URIAAL_R01817,11.55464621,13.13499837,11.61448774,11.80212759,10.57045375,11.59648814
URIAAL_R01806,10.39934763,12.48395151,10.88116807,11.31843212,10.21061048,10.15704953
URIAAL_R14974,11.02107415,10.21743336,10.25628769,9.783181748,10.3049304,10.05223585
URIAAL_R01798,10.62023284,10.36731385,10.39995407,9.68636311,9.985707873,10.30310072
URIAAL_R01735,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11722,5.624597821,6.43498533,5.315501485,5.630955528,4.885923333,5.720279544
URIAAL_R01799,5.106768862,4.656489436,4.919731905,4.363545172,4.790835485,5.484200565
URIAAL_R01800,6.249708194,5.825044428,6.578813466,6.004681015,6.652824795,7.087364347
URIAAL_R11806,10.05561316,10.54562604,10.43050524,10.08553288,9.868428815,10.04556424
URIAAL_R01719,9.713105617,9.559008181,9.294628668,9.110357312,9.443572549,9.712260077
URIAAL_R01734,5.805686801,7.21959861,6.8310635,6.244165986,6.719188476,6.897603361
URIAAL_R01733,4.363545172,5.472555868,6.897056548,4.689988651,5.704406029,4.363545172
URIAAL_R11807,6.384976422,7.378285652,6.404224767,6.130329575,7.138898296,6.03864687
URIAAL_R01812,8.833942456,10.69320658,8.728844716,8.995200031,8.455362573,6.724071365
URIAAL_R01832,5.106768862,8.145941437,6.688515694,6.681845003,5.869891152,5.339906261
URIAAL_R11808,10.24352865,10.50391868,9.875008072,10.09254538,10.09175529,10.74658139
URIAAL_R01801,12.10016254,12.39937017,12.22259744,11.43829117,12.43894689,12.56939184
URIAAL_R01720,12.79544472,11.85887572,11.33141588,12.02001136,12.42612939,11.87596023
URIAAL_R11723,12.30631626,12.91386251,13.36977325,12.28189815,13.24036815,12.89289626
URIAAL_R01721,5.106768862,4.363545172,4.363545172,4.363545172,4.363545172,5.165669828
URIAAL_R01722,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R11809,4.363545172,5.075108153,4.363545172,5.154913227,5.155862306,4.768462915
URIAAL_R11810,5.463885147,7.132902196,7.055026465,6.387868576,7.325533134,7.023894344
URIAAL_R01811,9.024242914,9.142230949,8.756726605,8.323466685,8.95410957,9.561370813
URIAAL_R01826,8.798112745,9.694275224,9.203974891,8.557034361,9.311315467,9.484497185
URIAAL_R01723,8.507567586,9.061628693,8.767044317,8.515781024,8.470288676,8.543099188
URIAAL_R01822,4.363545172,4.656489436,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11724,4.363545172,4.363545172,4.685980511,4.363545172,4.363545172,4.363545172
URIAAL_R01802,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01809,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R01810,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01744,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01827,4.363545172,4.363545172,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R11811,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01724,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11812,4.363545172,5.075108153,5.365066786,5.01234472,5.577707526,4.363545172
URIAAL_R11725,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01725,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R01726,8.373801365,7.818962155,9.614800441,9.180551358,8.712242116,9.19785317
URIAAL_R11746,11.21151067,10.75637646,10.85727439,10.82148216,11.43492769,11.56341064
URIAAL_R01727,5.192272678,4.363545172,4.685980511,5.216595778,4.363545172,4.768462915
URIAAL_R11813,6.160910052,6.291774289,6.44107503,6.28692339,5.543373549,5.746310082
URIAAL_R11731,11.70522256,11.65679783,11.83602266,10.96667758,11.96908598,11.06893409
URIAAL_R11730,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
